x,y
0.198708,1.980451
0.161432,1.987054
0.121674,1.992625
-0.362054,1.936538
0.287957,1.959382
-0.106680,1.994326
0.427962,1.912434
-0.468716,1.895872
0.316124,1.951251
0.137435,1.990600
0.221751,1.975712
-0.425606,1.913353
0.343457,1.942708
-0.252053,1.968731
0.082212,1.996626
0.192322,1.981676
0.119716,1.992860
-0.051005,1.998700
0.231768,1.973498
-0.231528,1.973552
0.181617,1.983643
-0.286818,1.959697
0.096012,1.995401
0.332917,1.946077
0.210266,1.978136
0.067769,1.997706
-0.056468,1.998407
-0.113105,1.993624
0.343843,1.942583
-0.055934,1.998437
-0.160190,1.987251
0.455689,1.901298
-0.258783,1.967067
0.223188,1.975400
-0.459000,1.899930
0.357148,1.938193
0.218920,1.976321
0.417549,1.916467
0.132308,1.991285
-0.396099,1.924514
0.311227,1.952714
-0.488934,1.887212
0.471715,1.894605
0.347452,1.941407
0.222814,1.975481
0.164932,1.986491
-0.047483,1.998873
0.137403,1.990605
-0.074476,1.997230
-0.240330,1.971532
-0.035850,1.999358
-0.443868,1.906115
0.339498,1.943985
-0.270920,1.963962
-0.274012,1.963151
0.019949,1.999801
-0.298289,1.956480
0.148941,1.988969
-0.088311,1.996108
-0.265401,1.965391
0.137796,1.990551
-0.165715,1.986363
-0.142559,1.989890
-0.204416,1.979323
0.358740,1.937659
0.128309,1.991802
0.453752,1.902094
0.079859,1.996816
-0.160541,1.987196
-0.493475,1.885229
0.204553,1.979296
-0.111123,1.993845
-0.254891,1.968035
0.220324,1.976020
-0.141122,1.990092
0.410038,1.919326
0.023914,1.999714
0.455691,1.901297
-0.236859,1.972337
0.072264,1.997392
-0.114545,1.993461
0.080935,1.996730
0.210942,1.977996
0.212263,1.977723
0.402011,1.922332
-0.090693,1.995896
0.085566,1.996346
0.116487,1.993238
0.110897,1.993870
-0.360784,1.936969
0.004567,1.999990
0.499392,1.882622
-0.319662,1.950181
0.351355,1.940123
0.381838,1.929664
0.274083,1.963132
-0.350119,1.940531
0.472730,1.894176
-0.137518,1.990589
0.348051,1.941211
0.142731,1.989865
-0.083709,1.996502
0.428501,1.912223
0.463484,1.898066
-0.212167,1.977743
0.412104,1.918543
0.296078,1.957109
-0.071910,1.997418
-0.119675,1.992865
-0.477963,1.891947
0.391290,1.926268
-0.499326,1.882651
0.203442,1.979518
-0.105156,1.994486
-0.182329,1.983515
0.129102,1.991701
0.038444,1.999261
0.284797,1.960251
0.374708,1.932178
-0.187964,1.982489
-0.065561,1.997853
0.096682,1.995337
0.347793,1.941295
-0.376818,1.931438
0.403710,1.921700
0.128473,1.991781
-0.334223,1.945665
-0.127264,1.991935
0.007308,1.999973
-0.242885,1.970932
-0.257910,1.967285
0.375537,1.931887
-0.305498,1.954400
0.107035,1.994288
-0.281455,1.961161
-0.324290,1.948765
0.396200,1.924477
0.342689,1.942957
-0.414993,1.917445
0.238199,1.972027
-0.159244,1.987401
-0.047427,1.998876
-0.449162,1.903970
0.431215,1.911157
-0.159468,1.987365
-0.009832,1.999952
0.338634,1.944262
-0.134982,1.990931
-0.443761,1.906158
0.422891,1.914408
0.148222,1.989075
-0.125038,1.992213
0.398034,1.923803
0.455800,1.901252
-0.381604,1.929747
0.169246,1.985780
0.060673,1.998161
0.163585,1.986709
0.068872,1.997631
-0.411652,1.918715
-0.275121,1.962857
-0.481196,1.890560
-0.296901,1.956875
0.317314,1.950892
-0.454373,1.901839
-0.006214,1.999981
0.387762,1.927544
-0.213627,1.977439
-0.084942,1.996399
-0.272691,1.963498
0.162753,1.986843
0.452259,1.902706
0.217610,1.976600
0.497319,1.883538
-0.348552,1.941046
-0.384112,1.928853
0.047339,1.998880
-0.346690,1.941656
-0.069932,1.997558
0.360423,1.937091
-0.372349,1.933000
0.091379,1.995834
0.478882,1.891553
0.343653,1.942645
-0.483142,1.889722
-0.386736,1.927913
-0.255965,1.967769
-0.278405,1.961982
-0.173501,1.985061
-0.237106,1.972280
-0.110279,1.993938
0.161913,1.986978
0.372251,1.933035
0.006511,1.999979
-0.198492,1.980493
0.377321,1.931261
0.113441,1.993586
-0.306101,1.954223
0.147237,1.989219
-0.325018,1.948541
-0.207405,1.978720
-0.098841,1.995127
0.221329,1.975803
0.178261,1.984237
0.010819,1.999941
0.296770,1.956913
-0.227432,1.974468
0.098532,1.995157
-0.339811,1.943884
0.239277,1.971777
0.235224,1.972712
0.440529,1.907457
0.210795,1.978027
0.273641,1.963248
0.182416,1.983499
0.474793,1.893299
-0.333394,1.945927
0.373584,1.932570
-0.258123,1.967232
0.418157,1.916234
-0.083031,1.996559
0.271614,1.963781
0.325839,1.948287
0.367575,1.934651
0.385014,1.928531
0.361100,1.936862
0.193153,1.981518
0.214300,1.977298
-0.297278,1.956768
0.080016,1.996804
-0.414062,1.917800
0.031220,1.999513
-0.200904,1.980020
0.494457,1.884798
0.109030,1.994074
0.453449,1.902218
-0.353147,1.939529
-0.246828,1.969995
0.074192,1.997252
0.387238,1.927732
-0.306728,1.954040
0.024260,1.999706
0.018469,1.999829
0.140883,1.990125
-0.490853,1.886376
0.136168,1.990772
0.354943,1.938931
-0.137602,1.990577
0.276923,1.962378
-0.093412,1.995647
0.380312,1.930205
0.410413,1.919184
-0.363743,1.935964
-0.177589,1.984354
0.240967,1.971383
0.006716,1.999977
-0.291867,1.958295
