x,y,z
-2.393013,-2.901214,2.853116
-3.832669,-2.669401,0.029986
-3.206958,-1.124807,-2.333286
-3.316165,-3.950433,2.829562
-1.013824,-3.510200,1.446289
-3.757079,-3.990972,2.399291
-3.144150,-1.859682,2.975609
-2.047101,-3.693794,2.811428
-3.443371,-1.651085,2.858474
-3.522719,-1.575032,2.742124
-2.995086,-3.003863,2.009834
-3.239214,-2.973856,1.466043
-1.986998,-3.960283,2.125503
-3.767558,-1.221167,1.049254
-2.755089,-1.995034,2.935042
-3.438930,-3.530916,1.661216
-3.129751,-1.098697,-3.176222
-3.537661,-3.718346,1.956250
-3.908208,-2.443692,0.444064
-3.415370,-3.981852,2.796296
-1.583858,-2.842264,2.805499
-1.458190,-2.305099,1.949995
-3.369369,-2.996317,1.124865
-1.030842,-3.672916,0.977991
-1.348912,-3.927551,0.715554
-2.903994,-2.418675,2.679582
-2.625539,-3.952257,2.920896
-2.299302,-2.627903,2.974129
-2.099246,-2.487648,2.973347
-2.256280,-1.338549,-3.270711
-3.670968,-2.288519,1.643326
-1.124818,-1.799018,-2.370992
-2.891566,-1.330575,-0.592592
-1.107168,-3.911453,0.029273
-2.350480,-3.948765,2.697858
-1.388186,-2.112594,1.041951
-2.762249,-2.730020,2.524783
-1.139361,-3.082628,2.247502
-3.171090,-1.235112,-0.778118
-2.979404,-3.871224,2.951436
-3.231498,-2.646132,1.776156
-3.551617,-2.204144,2.156852
-2.451135,-1.263695,-3.572155
-3.488338,-3.868999,2.462449
-3.356317,-1.857277,2.997450
-3.159985,-1.327657,0.321069
-3.342310,-2.815020,1.288893
-1.368215,-1.612129,-3.543219
-1.012760,-3.678900,0.902878
-3.711421,-2.362941,1.295470
-3.436240,-1.269916,0.575908
-3.053433,-1.578997,2.067196
-1.940981,-1.712164,0.050056
-3.376089,-3.669146,2.138198
-3.576010,-3.788230,2.088541
-3.106648,-2.594764,2.111822
-1.438168,-2.355830,2.045886
-2.000136,-3.516044,2.929156
-1.485278,-1.507914,-4.513313
-2.963862,-3.475313,2.455446
-1.416750,-2.528664,2.351319
-2.450148,-1.755846,1.794897
-3.370622,-3.368396,1.475007
-1.156266,-3.513009,1.774746
-3.758162,-2.008109,2.400438
-3.699789,-2.492959,0.918622
-1.780957,-1.297810,-6.712541
-2.140404,-2.874003,2.984493
-2.151579,-2.342877,2.921470
-2.085010,-1.066833,-10.338014
-3.238363,-2.326240,2.384701
-1.075940,-3.703105,0.988097
-3.449440,-1.869743,2.970430
-1.501152,-3.326109,2.633739
-1.009604,-1.992028,-1.025658
-1.277753,-3.503399,2.048092
-1.677962,-3.879219,1.800836
-2.868267,-2.177461,2.963253
-2.588698,-2.700684,2.750891
-2.749988,-2.373725,2.872002
-3.458315,-1.422448,1.938367
